name,price,url
Kitchener,$29.95,https://www.glassesshop.com/eyeglasses/sm0907
Ardmore,$29.95,https://www.glassesshop.com/eyeglasses/fm1558
Elma,$29.95,https://www.glassesshop.com/eyeglasses/fm1613
Atlanta,$29.95,https://www.glassesshop.com/eyeglasses/fz1657
Bristol,$45.95,https://www.glassesshop.com/eyeglasses/fp2418
Esther,$29.95,https://www.glassesshop.com/eyeglasses/fz1598
Eric,$29.95,https://www.glassesshop.com/eyeglasses/fm1582
Christine,$89.00,https://www.glassesshop.com/eyeglasses/fz1520
Alger,$34.95,https://www.glassesshop.com/eyeglasses/fp2305
Barton,$19.95,https://www.glassesshop.com/eyeglasses/fp2376
Breenda,$19.95,https://www.glassesshop.com/eyeglasses/sm0910
Rock,$24.95,https://www.glassesshop.com/eyeglasses/fp2431
Pittsfield,$39.95,https://www.glassesshop.com/eyeglasses/fz1664
Besty,$19.95,https://www.glassesshop.com/eyeglasses/fp2279
Wordsworth,$44.95,https://www.glassesshop.com/eyeglasses/st0262
Calaveras,$29.95,https://www.glassesshop.com/eyeglasses/fz1845
Robert,$39.95,https://www.glassesshop.com/eyeglasses/fp2289
Avon,$44.95,https://www.glassesshop.com/eyeglasses/ft0550
Annapolis,$29.95,https://www.glassesshop.com/eyeglasses/fz1812
Doris,$14.98,https://www.glassesshop.com/eyeglasses/fp2526
Hamilton,$29.95,https://www.glassesshop.com/eyeglasses/fp2368
Woolley,$9.98,https://www.glassesshop.com/eyeglasses/fp2550
Waukegan,$14.98,https://www.glassesshop.com/eyeglasses/fz1898
Darcy,$19.95,https://www.glassesshop.com/eyeglasses/sm0787
Syracuse,$19.95,https://www.glassesshop.com/eyeglasses/fz1697
Carmelita,$54.95,https://www.glassesshop.com/eyeglasses/ft0319
Alston,$29.95,https://www.glassesshop.com/eyeglasses/ft0439
NewHaven,$8.99,https://www.glassesshop.com/eyeglasses/fz1556
Nancy,$19.95,https://www.glassesshop.com/eyeglasses/fp2267
Alexandria,$14.98,https://www.glassesshop.com/eyeglasses/fz1909
Madison,$19.95,https://www.glassesshop.com/eyeglasses/fm1515
Gloversville,$19.95,https://www.glassesshop.com/eyeglasses/fp1810
Cumberland,$5.95,https://www.glassesshop.com/eyeglasses/fp2238
Margaret,$19.95,https://www.glassesshop.com/eyeglasses/fp2379
Harold,$35.95,https://www.glassesshop.com/eyeglasses/rm0302
Gloria,$24.95,https://www.glassesshop.com/eyeglasses/fm1618
Lansing,$29.95,https://www.glassesshop.com/eyeglasses/fz1629
Park,$19.95,https://www.glassesshop.com/eyeglasses/fp2275
Carllyle,$54.95,https://www.glassesshop.com/eyeglasses/ft0246
Madeline,$29.95,https://www.glassesshop.com/eyeglasses/fp2257
Everett,$34.95,https://www.glassesshop.com/eyeglasses/fz1528
Fairfax,$89.00,https://www.glassesshop.com/eyeglasses/fz1897
Helen,$19.95,https://www.glassesshop.com/eyeglasses/fm1596
Abilene,$14.98,https://www.glassesshop.com/eyeglasses/fz1904
Richard,$49.95,https://www.glassesshop.com/eyeglasses/ft0567
Janice,$5.95,https://www.glassesshop.com/eyeglasses/fp2228
Hubbard,$19.95,https://www.glassesshop.com/eyeglasses/fp1781
Gill,$12.95,https://www.glassesshop.com/eyeglasses/fm1593
Bertha,$34.95,https://www.glassesshop.com/eyeglasses/fz1711
Maple,$29.95,https://www.glassesshop.com/eyeglasses/fz1631
Kelly,$34.95,https://www.glassesshop.com/eyeglasses/fm1543
Peabody,$29.95,https://www.glassesshop.com/eyeglasses/ft0457
Kingston,$59.95,https://www.glassesshop.com/eyeglasses/st0268
Beverly,$12.95,https://www.glassesshop.com/eyeglasses/fm1650
Eartha,$29.95,https://www.glassesshop.com/eyeglasses/fz1852
Abner,$29.95,https://www.glassesshop.com/eyeglasses/sm0923
Bishop,$29.95,https://www.glassesshop.com/eyeglasses/fp2535
Waterville,$14.98,https://www.glassesshop.com/eyeglasses/fz1902
Arda,$39.95,https://www.glassesshop.com/eyeglasses/ft0306
Bradley,$59.95,https://www.glassesshop.com/eyeglasses/ft0435
Elmhurst,$19.95,https://www.glassesshop.com/eyeglasses/fp2062
Deirdre,$29.95,https://www.glassesshop.com/eyeglasses/fz1604
Plato,$19.95,https://www.glassesshop.com/eyeglasses/fm1179
Kenosha,$49.95,https://www.glassesshop.com/eyeglasses/ft0573
Aspen,$14.98,https://www.glassesshop.com/eyeglasses/spfm028
Lawton,$29.95,https://www.glassesshop.com/eyeglasses/fz1587
Enid,$29.95,https://www.glassesshop.com/eyeglasses/fp2359
Edith,$24.95,https://www.glassesshop.com/eyeglasses/fp2541
Whit,$14.98,https://www.glassesshop.com/eyeglasses/fz1875
Malcolm,$39.95,https://www.glassesshop.com/eyeglasses/ft0214
Virginia,$44.95,https://www.glassesshop.com/eyeglasses/ft0470
Huggins,$39.95,https://www.glassesshop.com/eyeglasses/ft0276
Henry,$12.47,https://www.glassesshop.com/eyeglasses/fm1703
Union,$79.00,https://www.glassesshop.com/eyeglasses/fz1730
Booth,$14.98,https://www.glassesshop.com/eyeglasses/spfm033
Norwalk,$29.95,https://www.glassesshop.com/eyeglasses/fz1539
Glendale,$29.95,https://www.glassesshop.com/eyeglasses/fz1827
Mick,$29.95,https://www.glassesshop.com/eyeglasses/ft0502
Goddard,$34.95,https://www.glassesshop.com/eyeglasses/fz1702
Acadia,$44.95,https://www.glassesshop.com/eyeglasses/ft0543
Georgia,$29.95,https://www.glassesshop.com/eyeglasses/fz1409
Gemini,$89.00,https://www.glassesshop.com/eyeglasses/fz1669
Martinez,$29.95,https://www.glassesshop.com/eyeglasses/fz1838
Nigel,$29.95,https://www.glassesshop.com/eyeglasses/fz1794
Bancroft,$29.95,https://www.glassesshop.com/eyeglasses/spfm003
Pitta,$29.95,https://www.glassesshop.com/eyeglasses/fz1721
Sally,$34.95,https://www.glassesshop.com/eyeglasses/sm0904
Petersburg,$12.95,https://www.glassesshop.com/eyeglasses/fp2273
Basil,$29.95,https://www.glassesshop.com/eyeglasses/spfm007
Chloe,$34.95,https://www.glassesshop.com/eyeglasses/fz1815
Savannah,$39.95,https://www.glassesshop.com/eyeglasses/fz1623
Utica,$29.95,https://www.glassesshop.com/eyeglasses/fp2207
Lagrange,$29.95,https://www.glassesshop.com/eyeglasses/fz1857
